,5
nightwish,4134
nofx,3992
the beatles,3526
in flames,3506
metallica,3310
britney spears,3014
pink floyd,2184
lil wayne,2152
iron maiden,2136
rammstein,2101
madonna,2070
kylie minogue,2065
nine inch nails,2025
system of a down,2018
linkin park,2003
radiohead,1976
fall out boy,1836
rise against,1806
2pac,1670
kelly clarkson,1654
coldplay,1636
bushido,1596
led zeppelin,1586
kanye west,1564
depeche mode,1561
children of bodom,1514
dropkick murphys,1513
mariah carey,1505
blind guardian,1504
bad religion,1502
rihanna,1450
paramore,1444
muse,1438
a*teens,1437
girls aloud,1420
slipknot,1419
dream theater,1415
avril lavigne,1403
brandy,1397
sonata arctica,1372
amon amarth,1371
as i lay dying,1366
red hot chili peppers,1366
frank sinatra,1355
eminem,1337
the pillows,1333
death cab for cutie,1307
shakira,1299
dir en grey,1297
tool,1293
u2,1290
blink-182,1282
slayer,1276
nirvana,1271
hans zimmer,1245
jay-z,1228
nas,1211
behemoth,1201
marduk,1197
green day,1191
lady gaga,1172
placebo,1160
dark tranquillity,1159
megadeth,1153
misfits,1153
the cure,1151
dimmu borgir,1142
iced earth,1111
ramones,1106
queen,1079
katatonia,1076
opeth,1075
underoath,1064
big bang,1057
less than jake,1057
lupe fiasco,1046
bob dylan,1029
disturbed,1026
john williams,1018
the offspring,998
against me!,995
johann sebastian bach,989
cannibal corpse,982
marilyn manson,980
the rolling stones,978
foo fighters,976
ac/dc,963
alkaline trio,962
porcupine tree,958
subway to sally,957
rancid,956
arch enemy,953
my chemical romance,941
nile,924
news,922
boa,922
brand new,920
sum 41,919
incubus,902
deftones,899
johnny cash,896
pantera,894
michael jackson,891
apocalyptica,890
killswitch engage,890
tori amos,888
christina aguilera,885
a day to remember,882
bring me the horizon,881
cobra starship,879
kotoko,875
evanescence,869
david bowie,866
gackt,863
heaven shall burn,861
judas priest,851
the game,848
the smiths,847
cradle of filth,846
mindless self indulgence,843
him,839
nelly furtado,835
black sabbath,834
millencolin,828
all time low,828
kate bush,814
o.s.t.r.,809
kat-tun,805
anberlin,801
lacuna coil,799
atreyu,797
oasis,796
mary j. blige,796
massive attack,794
soilwork,793
jack johnson,789
avenged sevenfold,788
jethro tull,783
breaking benjamin,780
therion,778
death,777
hide,775
t.i.,775
kamelot,772
the killers,771
hatebreed,771
testament,768
janet jackson,767
bright eyes,765
tegan and sara,763
modest mouse,762
the doors,758
helloween,757
bullet for my valentine,751
vnv nation,749
kool savas,747
super junior,746
jonas brothers,734
elliott smith,734
saosin,728
the bouncing souls,728
duran duran,727
manowar,725
front 242,721
kent,720
queens of the stone age,717
stratovarius,713
bon jovi,708
arctic monkeys,707
the used,705
50 cent,703
bob marley,703
atb,702
the clash,700
within temptation,700
nasum,699
t.a.t.u.,697
akira yamaoka,696
the devil wears prada,692
vader,690
jimmy eat world,687
relient k,683
de/vision,683
scooter,682
boards of canada,680
ulver,679
ensiferum,677
avantasia,676
saves the day,674
a perfect circle,671
kiss,670
hammerfall,670
finntroll,668
blutengel,668
sentenced,667
skinny puppy,667
lamb of god,666
asp,666
tom waits,664
die toten hosen,663
new found glory,663
sublime,663
panic at the disco,660
the pussycat dolls,658
enigma,656
sick of it all,651
taylor swift,650
afi,650
in extremo,648
chico buarque,647
daft punk,646
the academy is...,645
anti-flag,644
sugababes,643
suicide silence,640
thrice,639
30 seconds to mars,639
devildriver,634
rush,628
apoptygma berzerk,627
fear factory,626
hilary duff,625
korpiklaani,624
aphex twin,623
abba,622
converge,621
lostprophets,620
taking back sunday,613
ayreon,609
rage against the machine,609
nickelback,607
diary of dreams,606
joy division,603
parkway drive,603
samsas traum,600
rhapsody of fire,598
sufjan stevens,595
the prodigy,590
august burns red,590
burzum,586
streetlight manifesto,586
beastie boys,586
enya,586
immortal,585
darkthrone,580
danny elfman,577
have heart,576
uverworld,576
static-x,575
:wumpscut:,575
alicia keys,574
r.e.m.,571
papa roach,571
pearl jam,567
marillion,567
edguy,564
gamma ray,562
the lawrence arms,561
the who,560
circa survive,558
sepultura,556
los hermanos,555
front line assembly,555
dead kennedys,553
the mighty mighty bosstones,549
descendents,549
atmosphere,549
machine head,546
kreator,546
elvis presley,544
the smashing pumpkins,544
bleeding through,543
tristania,543
lagwagon,542
paradise lost,542
funeral for a friend,541
howard shore,539
thursday,538
carrie underwood,537
the all-american rejects,535
goldfrapp,534
my dying bride,531
bathory,531
pennywise,527
snoop dogg,525
x japan,523
eisregen,521
notorious b.i.g.,520
jedi mind tricks,520
phyllis hyman,518
portishead,517
rhapsody,516
miles davis,516
bloodbath,514
comeback kid,511
caliban,509
flogging molly,508
amy winehouse,507
napalm death,506
dark funeral,506
gorgoroth,504
symphony x,502
the black dahlia murder,502
schandmaul,501
something corporate,500
meshuggah,499
buck-tick,498
azad,498
verse,496
reel big fish,495
epica,494
the maine,493
3 doors down,491
emperor,491
chiodos,490
bruce springsteen,490
wilco,489
all that remains,488
moby,488
maroon 5,488
delerium,485
ludwig van beethoven,482
senses fail,482
usher,481
morrissey,480
funker vogt,480
the mars volta,479
anathema,478
blumentopf,477
james newton howard,476
hypocrisy,476
the get up kids,474
champion,472
after forever,471
minus the bear,470
the starting line,470
escape the fate,470
engenheiros do hawaii,468
mad caddies,468
job for a cowboy,465
bob marley & the wailers,465
kollegah,463
leona lewis,460
aerosmith,459
eric clapton,458
cat power,457
krystal meyers,454
bayside,454
ne-yo,453
limp bizkit,452
propagandhi,452
asian kung-fu generation,451
ennio morricone,450
screeching weasel,449
george strait,447
alice cooper,447
frank zappa,446
butch walker,446
yui,445
pain of salvation,445
oomph!,444
satyricon,443
amorphis,443
outkast,443
social distortion,442
m-flo,439
minor threat,439
i killed the prom queen,438
good charlotte,438
from autumn to ashes,437
prinz pi,437
joe satriani,436
pillar,435
katy perry,435
set your goals,434
bone thugs-n-harmony,430
disciple,430
aesop rock,430
explosions in the sky,429
spice girls,429
strung out,429
finch,428
guns n' roses,428
the veronicas,427
