,2
the pussycat dolls,2430
sugababes,2413
jars of clay,2211
the game,2128
gackt,2120
chamillionaire,2014
girls aloud,2001
vnv nation,1991
britney spears,1973
edguy,1973
no use for a name,1963
hilary duff,1951
darkthrone,1897
all shall perish,1885
los hermanos,1872
boa,1867
mayhem,1859
streetlight manifesto,1854
samsas traum,1848
and one,1830
satyricon,1827
gamma ray,1818
k.i.z.,1817
have heart,1806
combichrist,1799
mariah carey,1797
gorgoroth,1784
schandmaul,1778
t.i.,1763
covenant,1763
subway to sally,1733
pennywise,1725
apulanta,1712
:wumpscut:,1711
hillsong united,1708
miley cyrus,1686
50 cent,1683
epik high,1676
dir en grey,1674
tristania,1653
funker vogt,1651
carpathian forest,1647
sirenia,1644
lagwagon,1640
usher,1637
big bang,1634
assemblage 23,1634
kelly clarkson,1630
behemoth,1627
epica,1619
immortal,1616
nile,1610
david crowder band,1608
verse,1606
ashlee simpson,1602
after forever,1599
cmx,1599
ludacris,1584
sido,1581
all time low,1572
kylie minogue,1564
christina aguilera,1562
leona lewis,1552
alesana,1551
mayday parade,1547
asp,1524
suicide commando,1522
john williams,1507
kollegah,1488
ceremony,1474
parkway drive,1468
escape the fate,1464
se7en,1457
burzum,1454
catch 22,1453
the lawrence arms,1450
rick ross,1445
spice girls,1441
kool savas,1435
janet jackson,1432
sophie ellis-bextor,1426
cute is what we aim for,1425
switchfoot,1423
the black dahlia murder,1418
jennifer lopez,1410
do as infinity,1405
the devil wears prada,1391
caliban,1376
hillsong,1368
in extremo,1364
rancid,1362
skinny puppy,1360
asian kung-fu generation,1357
emperor,1357
front line assembly,1356
pmmp,1355
apoptygma berzerk,1353
blutengel,1353
leevi and the leavings,1352
the academy is...,1350
malice mizer,1349
marduk,1347
sodom,1342
ali project,1340
kamelot,1339
chiodos,1334
happysad,1334
kotiteollisuus,1329
theatre of tragedy,1326
aaliyah,1325
kotoko,1325
prinz pi,1320
samy deluxe,1320
helloween,1310
stam1na,1299
ellegarden,1298
cannibal corpse,1298
kreator,1296
hammerfall,1294
harry gregson-williams,1294
despised icon,1291
hocico,1289
decapitated,1282
super junior,1279
genesis,1272
kmfdm,1268
blacklisted,1266
plastic tree,1265
the early november,1262
klamydia,1260
buck-tick,1260
cartel,1248
blessthefall,1246
stratovarius,1244
armin van buuren,1239
mobb deep,1230
letzte instanz,1229
underoath,1229
unheilig,1226
kult,1224
kat-tun,1218
bring me the horizon,1213
goldfinger,1210
reel big fish,1209
champion,1208
symphony x,1197
o.s.t.r.,1187
lindsay lohan,1184
young jeezy,1181
vader,1177
good riddance,1176
capsule,1175
chris brown,1172
nofx,1171
hans zimmer,1170
skid row,1167
minor threat,1164
trash talk,1162
dance gavin dance,1160
howard shore,1157
nasum,1152
forever the sickest kids,1146
avantasia,1143
dillinger four,1141
michael giacchino,1141
motion city soundtrack,1137
ice cube,1135
down to nothing,1135
mokoma,1129
news,1129
atb,1129
bushido,1128
cunninlynguists,1127
hot water music,1127
rentrer en soi,1124
norther,1117
extremoduro,1115
ciara,1109
testament,1109
belphegor,1107
ensiferum,1106
blank & jones,1102
thomas newman,1097
ferry corsten,1096
agnostic front,1095
marisa monte,1094
pain of salvation,1091
ne-yo,1090
favorite,1090
die apokalyptischen reiter,1089
heaven shall burn,1088
def leppard,1088
suicide silence,1080
james newton howard,1079
wolfgang amadeus mozart,1077
antonio vivaldi,1076
kiss,1076
eluveitie,1076
rascal flatts,1075
camel,1072
exodus,1072
chico buarque,1068
dying fetus,1066
black flag,1063
mad caddies,1063
m-flo,1062
judas priest,1061
death in june,1061
terror,1059
tocotronic,1058
hatebreed,1056
deicide,1055
kettcar,1054
say anything,1053
the gazette,1052
lady gaga,1052
a skylit drive,1051
paul van dyk,1050
current 93,1046
jedi mind tricks,1045
taylor swift,1045
within temptation,1039
less than jake,1039
i killed the prom queen,1031
strung out,1031
die toten hosen,1027
2pac,1022
high and mighty color,1018
bad religion,1015
rhapsody of fire,1014
farin urlaub,1013
blind guardian,1012
the sisters of mercy,1012
bomb the music industry!,1011
chakuza,1010
seether,1007
eisregen,1005
emmure,1004
mxpx,1001
silverstein,1001
overkill,999
riverside,991
haste the day,987
the bouncing souls,985
morbid angel,981
bill evans,980
tiger army,977
mad sin,977
coma,971
kyuss,970
nas,970
viikate,970
big d and the kids table,970
the mighty mighty bosstones,967
bear mccreary,965
james horner,964
bloodbath,964
death,963
grendel,963
annihilator,962
the starting line,961
august burns red,959
new found glory,955
copeland,954
comeback kid,954
bump of chicken,954
kutless,954
john powell,953
the meteors,953
sonata arctica,943
lil wayne,943
something corporate,942
ani difranco,940
jay-z,940
ayreon,937
napalm death,935
dannii minogue,931
three 6 mafia,930
coil,930
l'arc~en~ciel,929
velvet acid christ,924
jerry goldsmith,924
stray cats,922
autechre,921
delirious?,920
the suicide machines,920
third day,918
relient k,912
the veronicas,909
pig destroyer,907
carrie underwood,906
myslovitz,905
steve jablonsky,904
front 242,903
brad paisley,899
adema,896
notorious b.i.g.,895
eldo,894
horrorpops,893
supercar,893
danny elfman,892
lia,891
chimaira,891
madsen,890
beatsteaks,889
the gaslight anthem,887
propagandhi,886
whitesnake,884
marillion,881
poison,881
bauhaus,877
siouxsie and the banshees,873
the maine,870
the cramps,870
paktofonika,870
alicia keys,866
the slackers,864
fler,863
casper,861
colony 5,860
descendents,858
a wilhelm scream,858
a day to remember,857
cascada,857
scar symmetry,856
isis,856
glenn gould,856
enslaved,855
strike anywhere,854
keith urban,853
modern life is war,853
orchid,851
kalmah,851
agonoize,847
dixie chicks,845
mudvayne,844
jonas brothers,844
akurat,844
aborted,843
above & beyond,843
trapt,841
fabolous,840
immortal technique,839
carcass,839
perfume,837
as i lay dying,836
saosin,835
sick of it all,830
my dying bride,830
rhapsody,830
atmosphere,829
donguralesko,826
jawbreaker,826
nekromantix,825
hey,825
destiny's child,823
sage francis,821
dark tranquillity,821
bane,820
operation ivy,819
aly & aj,816
angra,815
iosys,814
casting crowns,813
obituary,813
yes,812
agalloch,809
azad,803
de/vision,803
the get up kids,802
as blood runs black,802
screeching weasel,801
social distortion,801
john coltrane,800
carnifex,799
boys like girls,798
cinderella,795
dissection,794
against me!,793
acidman,791
static-x,790
cold,788
leaves' eyes,785
delain,784
destruction,781
the spill canvas,780
millencolin,780
anthrax,776
thelonious monk,774
the rocket summer,774
broilers,774
kataklysm,773
anti-flag,773
soilwork,773
bad brains,771
sergei rachmaninoff,770
madball,769
seabound,767
aesop rock,766
cock and ball torture,762
the format,761
orange range,760
rihanna,759
ella fitzgerald,758
j.b.o.,757
soda stereo,756
marea,755
olli banjo,754
the ergs!,753
uverworld,750
tomte,750
xandria,748
danity kane,748
pet shop boys,746
blood for blood,745
mae,744
chevelle,743
lacuna coil,742
equilibrium,740
dimmu borgir,737
curse,736
regurgitate,734
suffocation,734
finntroll,734
cold world,733
alexisonfire,732
kaliber 44,732
gentleman,731
d,730
sizzla,729
shinedown,728
kenny chesney,728
masterplan,727
charlie parker,722
mind.in.a.box,719
talib kweli,719
the fall of troy,719
metro station,717
damian marley,714
electric wizard,712
barenaked ladies,711
vanessa hudgens,710
sarah mclachlan,710
ignite,709
blackfield,708
clueso,707
kent,707
gang starr,706
all that remains,706
adriana calcanhotto,706
project pitchfork,705
groove coverage,704
bathory,703
sevendust,703
chris tomlin,700
cryptopsy,700
fear before the march of flames,695
skillet,695
dr. dre,694
eppu normaali,692
saltatio mortis,692
saxon,690
thousand foot krutch,689
paul mccartney,689
clutch,688
from first to last,688
king crimson,684
hit the lights,684
every little thing,683
tanzwut,682
garth brooks,681
shinee,681
melvins,680
ashley tisdale,678
newsboys,676
common,674
hanoi rocks,673
cobra starship,672
job for a cowboy,671
oomph!,670
sportfreunde stiller,670
ministry,670
feindflug,670
the adicts,668
wu-tang clan,667
herbie hancock,666
dead kennedys,666
ugk,664
saves the day,664
tech n9ne,662
mesh,661
converge,661
tactical sekt,661
yui,660
